0.01250675	26.362	8.488	-44.6	-62.473	-44.303	-35.814	1	0.03	0.98	5	48	79	0.624	0	12:26,13:25,14:24,15:23,16:22
0.01542599	25.476	18.94	-40.194	-46.73	-35.488	-16.548	0.99	0.01	0.98	4	48	79	0.624	0	26:66,27:65,28:64,29:63
0.01701558	25.102	12.172	-25.606	-38.537	-39.029	-26.857	1	0.02	0.99	4	48	79	0.624	0	52:65,53:64,54:63,55:62
0.02609322	23.075	19.189	-51.105	-54.992	-35.948	-16.759	0.99	-0.01	0.99	5	48	79	0.624	0	2:31,3:30,4:29,5:28,6:27
0.0319117	22.127	17.154	-48.844	-53.816	-41.868	-24.714	0.99	-0.01	0.99	5	48	79	0.624	0	3:50,4:49,5:48,6:47,7:46
0.05254634	19.462	17.043	-47.494	-49.912	-32.821	-15.777	0.98	-0.03	0.98	4	48	79	0.624	0	4:40,5:39,6:38,7:37
0.1032032	14.826	10.688	-49.78	-53.918	-42.25	-31.562	1	0.01	0.99	5	48	79	0.624	0	3:55,4:54,5:53,6:52,7:51
0.1682063	10.541	5.707	-27.744	-32.578	-36.737	-31.029	0.99	-0.01	0.99	4	48	79	0.624	0	59:68,60:67,61:66,62:65
0.323196	0.858	11.005	-42.486	-32.339	-38.768	-27.763	0.99	0	0.99	4	48	79	0.624	0	46:71,47:70,48:69,49:68
0.3662248	-2.248	11.69	-65.358	-51.42	-32.349	-20.659	0.99	0.01	0.97	4	48	79	0.624	0	5:15,6:14,7:13,8:12
0.3664547	-2.267	14.789	-75.821	-58.765	-31.084	-16.295	0.98	0	0.97	4	48	79	0.624	0	5:14,6:13,7:12,8:11
0.3717733	-2.666	1.227	-44.892	-40.999	-34.425	-33.197	0.95	-0.07	0.95	4	48	79	0.624	0	40:62,41:61,42:60,43:59
0.4353368	-7.811	10.899	-59.567	-40.856	-33.923	-23.024	0.99	-0.01	0.98	4	48	79	0.624	0	8:68,9:67,10:66,11:65
